sentence_id,sentence,paragraph,document
0,Burke and Webster are models in the forensic literature of our own language as truly as are Demosthenes and Cicero in the language of the ancient classics.,True,data/books/speeches-daniel-webster.html
1,Each has distinct and inimitable characteristics which give force and beauty to his work.,False,data/books/speeches-daniel-webster.html
2,"The study of each should be ordered in such a way as to put one in touch with those qualities of mind and heart, of intellectual and moral manhood, by which each became a leader in political philosophy and a model in literary style.",False,data/books/speeches-daniel-webster.html
3,"One who studies such authors in order to formulate a historical or a personal estimate merely, or to compare each as to certain externals of rhetorical form, has lost the true perspective of literary judgment.",False,data/books/speeches-daniel-webster.html
0,Reading in the school and in the home is far too often pursued with a purpose to controvert and prove rather than to weigh and consider.,True,data/books/speeches-daniel-webster.html
1,"Reading which does not result in enlarging, stimulating, and refining one's nature is but a busy idleness.",False,data/books/speeches-daniel-webster.html
2,"The schools must see to it that the desultory and dissipating methods of reading, so prevalent in the home, are not encouraged.",False,data/books/speeches-daniel-webster.html
3,Pupils must be stimulated first of all to enjoy what is beautiful in nature and in art: for here is,False,data/books/speeches-daniel-webster.html
0,"Burke's American Orations present him at his best as a statesman, an orator, and a stylist.",True,data/books/speeches-daniel-webster.html
1,"When the edition of those speeches was prepared, a selection from Webster's great speeches was contemplated as a companion volume.",False,data/books/speeches-daniel-webster.html
2,The present edition represents Webster in the various and distinct fields in which his genius manifested itself so powerfully and so nobly.,False,data/books/speeches-daniel-webster.html
3,"He is here seen before a jury, before the Supreme Court of the United States, on a great historical occasion, in the Senate of the United States, in a great national canvass, and as a eulogist.",False,data/books/speeches-daniel-webster.html
0,"Had it not been for making the volume too large for school use I should have included the famous speech delivered in the Senate on the 7th of March, 1850.",True,data/books/speeches-daniel-webster.html
1,This speech has been considered by many as the vulnus immedicabile of Mr. Webster's political life; it is certain that for it he was most rankly abused.,False,data/books/speeches-daniel-webster.html
2,"""Massachusetts,"" as Hon.",False,data/books/speeches-daniel-webster.html
3,"John D. Long has said, ""smote and broke the heart of Webster, her idol, and then broke her own above his grave, and to-day writes his name highest upon her roll of statesmen.""",False,data/books/speeches-daniel-webster.html
0,"In his address at Buffalo on the 22d of May, 1851, he expressed himself very freely in regard to this speech, saying: ""I felt that I had a duty to perform to my country, to my own reputation; for I flattered myself that a service of forty years had given me some character, on which I had a right to repose for my justification in the performance of a duty attended with some degree of local unpopularity.",True,data/books/speeches-daniel-webster.html
1,"I thought it was my duty to pursue this course, and I did not care what was to be the consequence.",False,data/books/speeches-daniel-webster.html
2,"And, Gentlemen, allow me to say here to-day, that if the fate of John Rogers had stared me in the face, if I had seen the stake, if I had heard the fagots already crackling, by the blessing of Almighty God I would have gone on and discharged the duty which I thought my country called upon me to perform.""",False,data/books/speeches-daniel-webster.html
0,The address of Hon.,True,data/books/speeches-daniel-webster.html
1,"Rufus Choate, before the students of Dartmouth College, commemorative of Daniel Webster, has a remark on this subject so just that I cannot refrain from quoting it.",False,data/books/speeches-daniel-webster.html
2,"He says: ""Until the accuser who charges Mr. Webster with having 'sinned against his conscience' will assert that the conscience of a public man may not, must not, be instructed by profound knowledge of the vast subject-matter with which public life is conversant, and will assert that he is certain that the consummate science of our great statesman was felt by himself to prescribe to his morality another conduct than that which he adopted, and that he thus consciously outraged that 'sense of duty which pursues us ever,'--is he not inexcusable, whoever he is, that so judges another?""",False,data/books/speeches-daniel-webster.html
0,I am indebted to the Hon.,True,data/books/speeches-daniel-webster.html
1,George F. Hoar and the Hon.,False,data/books/speeches-daniel-webster.html
2,Edward J. Phelps for assistance in the task of selecting representative speeches; and to the former for permission to associate his name with this edition of Mr. Webster's work.,False,data/books/speeches-daniel-webster.html
0,Coleridge used to say that he had seldom known or heard of any great man who had not much of the woman in him.,True,data/books/speeches-daniel-webster.html
1,"Even so the large intellect of Daniel Webster seemed to be coupled with all softer feelings; and his countenance and bearing, at the very first, impressed me with this.",False,data/books/speeches-daniel-webster.html
2,"A commanding brow, thoughtful eyes, and a mouth that seemed to respond to all humanities.",False,data/books/speeches-daniel-webster.html
3,"He deserves his fame, I am sure.--John Kenyon.",False,data/books/speeches-daniel-webster.html
0,He is a magnificent specimen.,True,data/books/speeches-daniel-webster.html
1,"You might say to all the world, ""This is our Yankee Englishman; such limbs we make in Yankee-land!""",False,data/books/speeches-daniel-webster.html
2,As a parliamentary Hercules one would incline to back him at first sight against all the extant world.,False,data/books/speeches-daniel-webster.html
3,"The tanned complexion; that amorphous craglike face; the dull black eyes under the precipice of brows, like dull anthracite furnaces needing only to be blown; the mastiff mouth, accurately closed; I have not traced so much of silent Berserkir rage that I remember of in any other man.-- Thomas Carlyle.",False,data/books/speeches-daniel-webster.html
0,The noblest monument to Daniel Webster is in his works.,True,data/books/speeches-daniel-webster.html
1,"As a repository of political truth and practical wisdom, applied to the affairs of government, I know not where we shall find their equal.",False,data/books/speeches-daniel-webster.html
2,"The works of Burke naturally suggest themselves to the mind, as the only writings in our language that can sustain the comparison.-- Edward Everett.",False,data/books/speeches-daniel-webster.html
0,"He writes like a man who is thinking of his subject, and not of his style, and thus he wastes no time upon the mere garb of his thoughts.",True,data/books/speeches-daniel-webster.html
1,"His style is Doric, not Corinthian.",False,data/books/speeches-daniel-webster.html
2,"His sentences are like shafts hewn from the granite of his own hills,--simple, massive, strong.",False,data/books/speeches-daniel-webster.html
3,"We may apply to him what Quinctilian says of Cicero, that a relish for his writings is itself a mark of good taste.-- George S. Hillard.",False,data/books/speeches-daniel-webster.html
0,"He taught the people of the United States, in the simplicity of common understanding, the principles of the Constitution and government of the country, and he wrought for them, in a style of matchless strength and beauty, the literature of statesmanship.",True,data/books/speeches-daniel-webster.html
1,He made his language the very household words of a nation.,False,data/books/speeches-daniel-webster.html
2,They are the library of the people.,False,data/books/speeches-daniel-webster.html
3,They are the school-book of the citizen.-- John D. Long.,False,data/books/speeches-daniel-webster.html
0,"Gentlemen of the Jury,--It is true that the offence charged in the indictment in this case is not capital; but perhaps this can hardly be considered as favorable to the defendants.",True,data/books/speeches-daniel-webster.html
1,"To those who are guilty, and without hope of escape, no doubt the lightness of the penalty of transgression gives consolation.",False,data/books/speeches-daniel-webster.html
2,"But if the defendants are innocent, it is more natural for them to be thinking upon what they have lost by that alteration of the law which has left highway robbery no longer capital, than upon what the guilty might gain by it.",False,data/books/speeches-daniel-webster.html
3,"They have lost those great privileges in their trial, which the law allows, in capital cases, for the protection of innocence against unfounded accusation.",False,data/books/speeches-daniel-webster.html
4,"They have lost the right of being previously furnished with a copy of the indictment, and a list of the government witnesses.",False,data/books/speeches-daniel-webster.html
5,"They have lost the right of peremptory challenge; and, notwithstanding the prejudices which they know have been excited against them, they must show legal cause of challenge, in each individual case, or else take the jury as they find it.",False,data/books/speeches-daniel-webster.html
6,They have lost the benefit of assignment of counsel by the court.,False,data/books/speeches-daniel-webster.html
7,They have lost the benefit of the Commonwealth's process to bring in witnesses in their behalf.,False,data/books/speeches-daniel-webster.html
8,"When to these circumstances it is added that they are strangers, almost wholly without friends, and without the means for preparing their defence, it is evident they must take their trial under great disadvantages.",False,data/books/speeches-daniel-webster.html
0,"In the first place, it is impossible to believe that a robbery of this sort could have been committed by three or four men without previous arrangement and concert, and of course without the knowledge of the fact that Goodridge would be there, and that he had money.",True,data/books/speeches-daniel-webster.html
1,"They did not go on the highway, in such a place, in a cold December's night, for the general purpose of attacking the first passenger, running the chance of his being somebody who had money.",False,data/books/speeches-daniel-webster.html
2,"It is not easy to believe that a gang of robbers existed, that they acted systematically, communicating intelligence to one another, and meeting and dispersing as occasion required, and that this gang had their head-quarters in such a place as Newburyport.",False,data/books/speeches-daniel-webster.html
3,No town is more distinguished for the general correctness of the habits of its citizens; and it is of such a size that every man in it may be known to all the rest.,False,data/books/speeches-daniel-webster.html
4,"The pursuits, occupations, and habits of every person within it are within the observation of his neighbors.",False,data/books/speeches-daniel-webster.html
5,"A suspicious stranger would be instantly observed, and all his movements could be easily traced.",False,data/books/speeches-daniel-webster.html
6,This is not the place to be the general rendezvous of a gang of robbers.,False,data/books/speeches-daniel-webster.html
7,Offenders of this sort hang on the skirts of large towns.,False,data/books/speeches-daniel-webster.html
8,"From the commission of their crimes they hasten into the crowd, and hide themselves in the populousness of great cities.",False,data/books/speeches-daniel-webster.html
9,"If it be wholly improbable that a gang existed in such a place for the purpose of general plunder, the next inquiry is, Is there any reason to think that there was a special or particular combination, for the single purpose of robbing the prosecutor?",False,data/books/speeches-daniel-webster.html
10,"Now it is material to observe, that not only is there no evidence of any such combination, but also, that circumstances existed which render it next to impossible that the defendants could have been parties to such a combination, or even that they could have any knowledge of the existence of any such man as Goodridge, or that any person, with money, was expected to come from the eastward, and to be near Essex Bridge, at or about nine o'clock, the evening when the robbery is said to have been committed.",False,data/books/speeches-daniel-webster.html
0,"One of the defendants had been for some weeks in Newburyport, the other passed the bridge from New Hampshire at twelve o'clock on the 19th of December, 1816.",True,data/books/speeches-daniel-webster.html
1,"At this time, Goodridge had not yet arrived at Exeter, twelve or fourteen miles from the bridge.",False,data/books/speeches-daniel-webster.html
2,"How, then, could either of the defendants know that he was coming?",False,data/books/speeches-daniel-webster.html
3,"Besides, he says that nobody, as far as he is aware, knew on the road that he had money, and nothing happened till he reached Exeter, according to his account, from which it might be conjectured that such was the case.",False,data/books/speeches-daniel-webster.html
4,"Here, as he relates it, it became known that he had pistols; and he must wish you to infer that the plan to rob him was laid here, at Exeter, by some of the persons who inferred that he had money from his being armed.",False,data/books/speeches-daniel-webster.html
5,Who were these persons?,False,data/books/speeches-daniel-webster.html
6,"Certainly not the defendants, or either of them.",False,data/books/speeches-daniel-webster.html
7,Certainly not Taber.,False,data/books/speeches-daniel-webster.html
8,Certainly not Jackman.,False,data/books/speeches-daniel-webster.html
9,Were they persons of suspicious characters?,False,data/books/speeches-daniel-webster.html
10,Was he in a house of a suspicious character?,False,data/books/speeches-daniel-webster.html
11,On this point he gives us no information.,False,data/books/speeches-daniel-webster.html
12,"He has either not taken the pains to inquire, or he chooses not to communicate the result of his inquiries.",False,data/books/speeches-daniel-webster.html
13,"Yet nothing could be more important, since he seems compelled to lay the scene of the plot against him at Exeter, than to know who the persons were that he saw, or who saw him, at that place.",False,data/books/speeches-daniel-webster.html
14,"On the face of the facts now proved, nothing could be more improbable than that the plan of robbery was concerted at Exeter.",False,data/books/speeches-daniel-webster.html
15,"If so, why should those who concerted it send forward to Newburyport to engage the defendants, especially as they did not know that they were there?",False,data/books/speeches-daniel-webster.html
16,What should induce any persons so suddenly to apply to the defendants to assist in a robbery?,False,data/books/speeches-daniel-webster.html
17,There was nothing in their personal character or previous history that should induce this.,False,data/books/speeches-daniel-webster.html
0,Nor was there time for all this.,True,data/books/speeches-daniel-webster.html
1,"If the prosecutor had not lingered on the road, for reasons not yet discovered, he must have been in Newburyport long before the time at which he states the robbery to have been committed.",False,data/books/speeches-daniel-webster.html
2,"How, then, could any one expect to leave Exeter, come to Newburyport, fifteen miles, there look out for and find out assistants for a highway robbery, and get back two miles to a convenient place for the commission of the crime?",False,data/books/speeches-daniel-webster.html
3,"That any body should have undertaken to act thus is wholly improbable; and, in point of fact, there is not the least proof of any body's travelling, that afternoon, from Exeter to Newburyport, or of any person who was at the tavern at Exeter having left it that afternoon.",False,data/books/speeches-daniel-webster.html
4,"In all probability, nothing of this sort could have taken place without being capable of detection and proof.",False,data/books/speeches-daniel-webster.html
5,"In every particular, the prosecutor has wholly failed to show the least probability of a plan to rob him having been laid at Exeter.",False,data/books/speeches-daniel-webster.html
0,But how comes it that Goodridge was near or quite four hours and a half in travelling a distance which might have been travelled in two hours or two hours and a half.,True,data/books/speeches-daniel-webster.html
1,"He says he missed his way, and went the Salisbury road.",False,data/books/speeches-daniel-webster.html
2,But some of the jury know that this could not have delayed him more than five or ten minutes.,False,data/books/speeches-daniel-webster.html
3,He ought to be able to give some better account of this delay.,False,data/books/speeches-daniel-webster.html
0,"Failing, as he seems to do, to create any belief that a plan to rob him was arranged at Exeter, the prosecutor goes back to Alfred, and says he saw there a man whom Taber resembles.",True,data/books/speeches-daniel-webster.html
1,"But Taber is proved to have been at that time, and at the time of the robbery, in Boston.",False,data/books/speeches-daniel-webster.html
2,This is proved beyond question.,False,data/books/speeches-daniel-webster.html
3,"It is so certain, that the Solicitor-General has nol prossed the indictment against him.",False,data/books/speeches-daniel-webster.html
0,It is next to be considered whether the prosecutor's story is either natural or consistent.,True,data/books/speeches-daniel-webster.html
1,"But, on the threshold of the inquiry, every one puts the question, What motive had the prosecutor to be guilty of the abominable conduct of feigning a robbery?",False,data/books/speeches-daniel-webster.html
2,It is difficult to assign motives.,False,data/books/speeches-daniel-webster.html
3,The jury do not know enough of his character or circumstances.,False,data/books/speeches-daniel-webster.html
4,"Such things have happened, and may happen again.",False,data/books/speeches-daniel-webster.html
5,"Suppose he owed money in Boston, and had it not to pay?",False,data/books/speeches-daniel-webster.html
6,Who knows how high he might estimate the value of a plausible apology?,False,data/books/speeches-daniel-webster.html
7,Some men have also a whimsical ambition of distinction.,False,data/books/speeches-daniel-webster.html
8,There is no end to the variety of modes in which human vanity exhibits itself.,False,data/books/speeches-daniel-webster.html
9,A story of this nature excites the public sympathy.,False,data/books/speeches-daniel-webster.html
10,It attracts general attention.,False,data/books/speeches-daniel-webster.html
11,"It causes the name of the prosecutor to be celebrated as a man who has been attacked, and, after a manly resistance, overcome by robbers, and who has renewed his resistance as soon as returning life and sensation enabled him, and, after a second conflict, has been quite subdued, beaten and bruised out of all sense and sensation, and finally left for dead on the field.",False,data/books/speeches-daniel-webster.html
12,"It is not easy to say how far such motives, trifling and ridiculous as most men would think them, might influence the prosecutor, when connected with any expectation of favor or indulgence, if he wanted such, from his creditors.",False,data/books/speeches-daniel-webster.html
