first_name,last_name,state,party,district
Adams,Alma S.,North Carolina,DEMOCRATIC,12
Aderholt,Robert B.,Alabama,REPUBLICAN,4
Aguilar,Pete,California,DEMOCRATIC,33
Alford,Mark,Missouri,REPUBLICAN,4
Allen,Rick W.,Georgia,REPUBLICAN,12
Allred,Colin Z.,Texas,DEMOCRATIC,32
Amodei,Mark E.,Nevada,REPUBLICAN,2
Armstrong,Kelly,North Dakota,REPUBLICAN,At Large
Arrington,Jodey C.,Texas,REPUBLICAN,19
Auchincloss,Jake,Massachusetts,DEMOCRATIC,4
Axne,Cynthia,Iowa,DEMOCRATIC,3
Babin,Brian,Texas,REPUBLICAN,36
Bacon,Don,Nebraska,REPUBLICAN,2
Baird,James R.,Indiana,REPUBLICAN,4
Balderson,Troy,Ohio,REPUBLICAN,12
Baldwin,Tammy,Wisconsin,DEMOCRATIC,
Balint,Becca,Vermont,DEMOCRATIC,At Large
Banks,Jim,Indiana,REPUBLICAN,3
Barr,Andy,Kentucky,REPUBLICAN,6
Barragan,Nanette Diaz,California,DEMOCRATIC,44
Barrasso,John,Wyoming,REPUBLICAN,
Bass,Karen,California,DEMOCRATIC,37
Bean,Aaron,Florida,REPUBLICAN,4
Beatty,Joyce,Ohio,DEMOCRATIC,3
Bennet,Michael F.,Colorado,DEMOCRATIC,
Bentz,Cliff,Oregon,REPUBLICAN,2
Bera,Ami,California,DEMOCRATIC,6
Bergman,Jack,Michigan,REPUBLICAN,1
Beyer,Donald S.,Virginia,DEMOCRATIC,8
Bice,Stephanie I.,Oklahoma,REPUBLICAN,5
Biggs,Andy,Arizona,REPUBLICAN,5
Bilirakis,Gus M.,Florida,REPUBLICAN,12
Bishop,Dan,North Carolina,REPUBLICAN,8
Bishop,Sanford D.,Georgia,DEMOCRATIC,2
Blackburn,Marsha,Tennessee,REPUBLICAN,
Blumenauer,Earl,Oregon,DEMOCRATIC,3
Blumenthal,Richard,Connecticut,DEMOCRATIC,
Blunt Rochester,Lisa,Delaware,DEMOCRATIC,At Large
Blunt,Roy,Missouri,REPUBLICAN,
Boebert,Lauren,Colorado,REPUBLICAN,3
Bonamici,Suzanne,Oregon,DEMOCRATIC,1
Booker,Cory A.,New Jersey,DEMOCRATIC,
Boozman,John,Arkansas,REPUBLICAN,
Bost,Mike,Illinois,REPUBLICAN,12
Bourdeaux,Carolyn,Georgia,DEMOCRATIC,7
Bowman,Jamaal,New York,DEMOCRATIC,16
Boyle,Brendan F.,Pennsylvania,DEMOCRATIC,2
Brady,Kevin,Texas,REPUBLICAN,8
Braun,Mike,Indiana,REPUBLICAN,
Brecheen,Josh,Oklahoma,REPUBLICAN,2
Britt,Katie Boyd,Alabama,REPUBLICAN,
Brooks,Mo,Alabama,REPUBLICAN,5
Brown,Anthony G.,Maryland,DEMOCRATIC,4
Brown,Sherrod,Ohio,DEMOCRATIC,
Brown,Shontel M.,Ohio,DEMOCRATIC,11
Brownley,Julia,California,DEMOCRATIC,26
Buchanan,Vern,Florida,REPUBLICAN,16
Buck,Ken,Colorado,REPUBLICAN,4
Bucshon,Larry,Indiana,REPUBLICAN,8
Budd,Ted,North Carolina,REPUBLICAN,
Budzinski,Nikki,Illinois,DEMOCRATIC,13
Burchett,Tim,Tennessee,REPUBLICAN,2
Burgess,Michael C.,Texas,REPUBLICAN,26
Burlison,Eric,Missouri,REPUBLICAN,7
Burr,Richard,North Carolina,REPUBLICAN,
Bush,Cori,Missouri,DEMOCRATIC,1
Bustos,Cheri,Illinois,DEMOCRATIC,17
Butterfield,G. K.,North Carolina,DEMOCRATIC,1
Calvert,Ken,California,REPUBLICAN,41
Cammack,Kat,Florida,REPUBLICAN,3
Cantwell,Maria,Washington,DEMOCRATIC,
Capito,Shelley Moore,West Virginia,REPUBLICAN,
Caraveo,Yadira,Colorado,DEMOCRATIC,8
Carbajal,Salud O.,California,DEMOCRATIC,24
Cardin,Benjamin L.,Maryland,DEMOCRATIC,
Carey,Mike,Ohio,REPUBLICAN,15
Carl,Jerry L.,Alabama,REPUBLICAN,1
