first_name,last_name,state,party,district,official_channel,campaign_channel
Adams,Alma S.,North Carolina,DEMOCRATIC,12,https://www.youtube.com/@rep.almaadams1275,https://www.youtube.com/@AlmaAdamsforCongress
Aderholt,Robert B.,Alabama,REPUBLICAN,4,https://www.youtube.com/@RobertAderholt,
Aguilar,Pete,California,DEMOCRATIC,33,https://www.youtube.com/@rep.peteaguilar4281,https://www.youtube.com/@peteaguilarforcongress7460
Alford,Mark,Missouri,REPUBLICAN,4,https://www.youtube.com/@RepAlford,https://www.youtube.com/@markaalford
Allen,Rick W.,Georgia,REPUBLICAN,12,https://www.youtube.com/@congressmanrickallen8082,https://www.youtube.com/@RickAllenGA
Allred,Colin Z.,Texas,DEMOCRATIC,32,https://www.youtube.com/@RepColinAllred,https://www.youtube.com/@colinallredforcongress1547
Amodei,Mark E.,Nevada,REPUBLICAN,2,https://www.youtube.com/@MarkAmodeiNV2,https://www.youtube.com/@amodeifornevada7226
Armstrong,Kelly,North Dakota,REPUBLICAN,At Large,https://www.youtube.com/@RepArmstrongND,https://www.youtube.com/@coffeewithcongress5876
Arrington,Jodey C.,Texas,REPUBLICAN,19,https://www.youtube.com/@rep.jodeyarrington9944,https://www.youtube.com/@jodeyarrington2242
Auchincloss,Jake,Massachusetts,DEMOCRATIC,4,https://www.youtube.com/@RepAuchincloss,https://www.youtube.com/@auchinclossforcongress8053
Axne,Cynthia,Iowa,DEMOCRATIC,3,https://www.youtube.com/@rep.cindyaxne6750,https://www.youtube.com/@cindyaxne64
Babin,Brian,Texas,REPUBLICAN,36,https://www.youtube.com/@RepBrianBabin,https://www.youtube.com/@dr.brianbabinforu.s.congre1699
Bacon,Don,Nebraska,REPUBLICAN,2,https://www.youtube.com/@RepDonBacon,https://www.youtube.com/@DonBaconforCongress
Baird,James R.,Indiana,REPUBLICAN,4,https://www.youtube.com/@RepJimBaird,https://www.youtube.com/@Aa08080808
Balderson,Troy,Ohio,REPUBLICAN,12,https://www.youtube.com/@repbalderson,https://www.youtube.com/@baldersonforcongress5500
Baldwin,Tammy,Wisconsin,DEMOCRATIC,,https://www.youtube.com/@SenatorTammyBaldwin,https://www.youtube.com/@TammyBaldwinCampaign
Balint,Becca,Vermont,DEMOCRATIC,At Large,https://www.youtube.com/@beccabalint6303,
Banks,Jim,Indiana,REPUBLICAN,3,https://www.youtube.com/@RepJimBanks,https://www.youtube.com/@jimbanksforcongress4058
Barr,Andy,Kentucky,REPUBLICAN,6,https://www.youtube.com/@RepAndyBarr,https://www.youtube.com/@andybarrforcongress5657
Barragan,Nanette Diaz,California,DEMOCRATIC,44,https://www.youtube.com/@rep.nanettediazbarragan694,https://www.youtube.com/@nanettebarraganforcongress1341
Barrasso,John,Wyoming,REPUBLICAN,,https://www.youtube.com/@barrassowyo,
Bass,Karen,California,DEMOCRATIC,37,https://www.youtube.com/@RepKarenBass,https://www.youtube.com/@karenbassformayor3878
Bean,Aaron,Florida,REPUBLICAN,4,https://www.youtube.com/@aaronbeanforcongress9519,
Beatty,Joyce,Ohio,DEMOCRATIC,3,https://www.youtube.com/@JoyceBeatty,https://www.youtube.com/@BeattyforCongres2012
Bennet,Michael F.,Colorado,DEMOCRATIC,,https://www.youtube.com/@SenatorBennet,https://www.youtube.com/@MichaelBennet2020
Bentz,Cliff,Oregon,REPUBLICAN,2,https://www.youtube.com/@cliffbentz1742,https://www.youtube.com/@cliffbentzforcongress6881
Bera,Ami,California,DEMOCRATIC,6,https://www.youtube.com/@repamibera,https://www.youtube.com/@BeraForCongress
Bergman,Jack,Michigan,REPUBLICAN,1,https://www.youtube.com/@jackbergman5150,
Beyer,Donald S.,Virginia,DEMOCRATIC,8,https://www.youtube.com/@RepDonBeyer,https://www.youtube.com/@donbeyer6243
Bice,Stephanie I.,Oklahoma,REPUBLICAN,5,https://www.youtube.com/@rep.stephaniebice389,https://www.youtube.com/@votebiceforcongress9563
Biggs,Andy,Arizona,REPUBLICAN,5,https://www.youtube.com/@RepAndyBiggsAZ05,https://www.youtube.com/@andybiggs2257
Bilirakis,Gus M.,Florida,REPUBLICAN,12,https://www.youtube.com/@RepGusBilirakis,https://www.youtube.com/@gusbilirakis5123
Bishop,Dan,North Carolina,REPUBLICAN,8,https://www.youtube.com/@congressmandanbishopnc-0992,https://www.youtube.com/@danbishop7758
Bishop,Sanford D.,Georgia,DEMOCRATIC,2,https://www.youtube.com/@RepSanfordBishop,https://www.youtube.com/@sanfordbishopforcongress149
Blackburn,Marsha,Tennessee,REPUBLICAN,,https://www.youtube.com/@SenMarshaBlackburn,https://www.youtube.com/@MarshaBlackburnforUSSenate
Blumenauer,Earl,Oregon,DEMOCRATIC,3,https://www.youtube.com/@RepBlumenauerOR03,https://www.youtube.com/@earlblumenauer4226
Blumenthal,Richard,Connecticut,DEMOCRATIC,,https://www.youtube.com/@SenatorBlumenthal,https://www.youtube.com/@DickBlumenthal
Blunt Rochester,Lisa,Delaware,DEMOCRATIC,At Large,,https://www.youtube.com/@lisabluntrochesterforcongr9071
Blunt,Roy,Missouri,REPUBLICAN,,https://www.youtube.com/@SenatorBlunt,https://www.youtube.com/@royblunt1901
Boebert,Lauren,Colorado,REPUBLICAN,3,https://www.youtube.com/@laurenboebert6352,https://www.youtube.com/@laurenboebertforcongress1569
Bonamici,Suzanne,Oregon,DEMOCRATIC,1,https://www.youtube.com/@RepSuzanneBonamici,https://www.youtube.com/@suzannebonamici
Booker,Cory A.,New Jersey,DEMOCRATIC,,https://www.youtube.com/@senbooker,https://www.youtube.com/@CoryBooker
Boozman,John,Arkansas,REPUBLICAN,,https://www.youtube.com/@SenatorJohnBoozmanAR,https://www.youtube.com/@BoozmanforArkansas
Bost,Mike,Illinois,REPUBLICAN,12,https://www.youtube.com/@user-qn4kc4dg3i,https://www.youtube.com/@mikebost240
Bourdeaux,Carolyn,Georgia,DEMOCRATIC,7,https://www.youtube.com/@RepBourdeaux,https://www.youtube.com/@carolynbourdeaux9423
Bowman,Jamaal,New York,DEMOCRATIC,16,https://www.youtube.com/@congressmanjamaalbowman9971,https://www.youtube.com/@jamaalbowman5180
Boyle,Brendan F.,Pennsylvania,DEMOCRATIC,2,https://www.youtube.com/@u.s.congressmanbrendanboyl6698,https://www.youtube.com/@brendanboyle8697
Brady,Kevin,Texas,REPUBLICAN,8,https://www.youtube.com/@KBrady8,
Braun,Mike,Indiana,REPUBLICAN,,https://www.youtube.com/@SenatorBraun,https://www.youtube.com/@mikebraunforindiana2210
Brecheen,Josh,Oklahoma,REPUBLICAN,2,,https://www.youtube.com/@joshbrecheenforcongress14
Britt,Katie Boyd,Alabama,REPUBLICAN,,https://www.youtube.com/@senkatiebritt,https://www.youtube.com/@KatieBrittforAL
Brooks,Mo,Alabama,REPUBLICAN,5,https://www.youtube.com/@RepMoBrooks,https://www.youtube.com/@mobrooks4094
Brown,Anthony G.,Maryland,DEMOCRATIC,4,https://www.youtube.com/@RepAnthonyBrown,https://www.youtube.com/@AnthonyBrownMaryland
Brown,Sherrod,Ohio,DEMOCRATIC,,https://www.youtube.com/@SenSherrodBrown,https://www.youtube.com/@sherrodbrown8620
Brown,Shontel M.,Ohio,DEMOCRATIC,11,https://www.youtube.com/@rep.shontelbrown7912,https://www.youtube.com/@shontelbrownforcongress3337
Brownley,Julia,California,DEMOCRATIC,26,https://www.youtube.com/@RepBrownley,https://www.youtube.com/@juliabrownleyforcongress2551
Buchanan,Vern,Florida,REPUBLICAN,16,https://www.youtube.com/@VernBuchanan,
Buck,Ken,Colorado,REPUBLICAN,4,https://www.youtube.com/@RepKenBuck,https://www.youtube.com/@buckforco
Bucshon,Larry,Indiana,REPUBLICAN,8,https://www.youtube.com/@RepLarryBucshon,https://www.youtube.com/@larrybucshonbucshonforcong6859
Budd,Ted,North Carolina,REPUBLICAN,,https://www.youtube.com/@SenTedBudd,https://www.youtube.com/@tedbuddforsenate1362
Budzinski,Nikki,Illinois,DEMOCRATIC,13,https://www.youtube.com/@RepNikkiB,https://www.youtube.com/@nikkibudzinski7868
Burchett,Tim,Tennessee,REPUBLICAN,2,https://www.youtube.com/@congressmantimburchett2448,https://www.youtube.com/@burchettforcongress7919
Burgess,Michael C.,Texas,REPUBLICAN,26,https://www.youtube.com/@MichaelCBurgessMD,
Burlison,Eric,Missouri,REPUBLICAN,7,https://www.youtube.com/@RepEricBurlison,https://www.youtube.com/@EricBurlison
Burr,Richard,North Carolina,REPUBLICAN,,https://www.youtube.com/@SenatorRichardBurr,
Bush,Cori,Missouri,DEMOCRATIC,1,https://www.youtube.com/@CoriBushForCongress,
Bustos,Cheri,Illinois,DEMOCRATIC,17,https://www.youtube.com/@RepCheri,https://www.youtube.com/@BustosForCongress
Butterfield,G. K.,North Carolina,DEMOCRATIC,1,https://www.youtube.com/@GKBNC01,
Calvert,Ken,California,REPUBLICAN,41,https://www.youtube.com/@RepKenCalvert,https://www.youtube.com/@CalvertforCongress
Cammack,Kat,Florida,REPUBLICAN,3,https://www.youtube.com/@repkatcammack,https://www.youtube.com/@katforcongress3861
Cantwell,Maria,Washington,DEMOCRATIC,,https://www.youtube.com/@SenatorCantwell,
Capito,Shelley Moore,West Virginia,REPUBLICAN,,https://www.youtube.com/@senatorshelleymoorecapito4636,
